cgpa,tenth_percent,twelfth_percent,skills_count,projects_count,certifications_count,internships_count,backlogs,placed
8.94,73.17,73.77,1,1,3,1,0,1
8.14,83.44,67.34,1,0,1,1,0,1
7.38,93.14,79.25,5,2,1,1,0,1
8.43,89.35,66.46,6,0,0,0,0,1
10.0,69.44,86.84,6,4,1,0,0,1
7.98,74.08,80.74,3,1,2,1,0,1
8.05,89.53,66.88,6,2,0,2,0,1
7.34,74.14,77.22,5,1,1,2,2,1
6.95,80.2,73.23,6,1,2,0,0,1
8.63,86.4,82.87,1,1,1,0,1,1
6.94,74.25,92.06,3,2,2,0,1,1
7.87,82.84,63.12,3,1,0,2,0,1
7.32,71.33,81.04,6,2,2,2,0,1
8.28,77.19,78.56,2,3,3,1,0,1
8.13,84.56,86.04,9,4,2,1,0,1
8.84,69.26,81.92,4,2,3,1,0,1
7.29,85.52,73.23,3,2,3,1,1,1
7.53,81.84,77.13,5,3,3,0,0,1
6.82,86.42,72.84,5,3,2,1,0,1
7.36,83.79,89.68,2,2,1,0,1,1
8.18,92.91,80.19,3,3,0,0,1,1
